model,ver_name,brand
1501-A02,#全网通版,360
1501-M02,#移动版,360
1503-A01,#全网通版,360
1503-M02,#移动版,360
1505-A01,#,360
1505-A02,#,360
1509-A00,#全网通版,360
1509-M02,#移动版,360
1515-A01,#,360
1603-A02,#,360
1603-A03,#,360
1605-A01,#全网通版,360
1605-A02,#移动版,360
1607-A01,#,360
1701-M01,#,360
1703-M01,#,360
1707-A01,#,360
1711-A01,#,360
1713-A01,#,360
1801-A01,#,360
1801-T0,#,coolpad
1802-T0,#,coolpad
1803-A01,#,360
1807-A01,#,360
1809-A01,#,360
1812-A0,#,coolpad
1821-T0,#,coolpad
1822-C0,#,coolpad
1831-A0,#,coolpad
1832-A0,#,coolpad
1841-C0,#,coolpad
1871-A0,#,coolpad
1872-A0,#,coolpad
1873-A0,#,coolpad
2012051,#联通版 #WCDMA,xiaomi
2012052,#青春版 #Lite,xiaomi
2012053,#电信版 #CDMA,xiaomi
2012061,#联通版 #WCDMA,xiaomi
2012062,#电信版 #CDMA,xiaomi
2012121,#联通版 #,xiaomi
2013012,#联通版 #WCDMA,xiaomi
2013021,#电信版 #CDMA,xiaomi
2013022,#移动版 #TD-SCDMA,xiaomi
2013023,#联通版 #WCDMA,xiaomi
2013028,#电信版 #CDMA,xiaomi
2013029,#联通版 #WCDMA,xiaomi
2013061,#移动版 #TD-SCDMA,xiaomi
2013062,#联通版 #WCDMA,xiaomi
2013063,#电信版 #CDMA,xiaomi
2013121,#联通 3G 增强版 #WCDMA (2GB RAM),xiaomi
2013122,#移动 3G 增强版 #TD-SCDMA (2GB RAM),xiaomi
2014011,#移动 3G 版 #TD-SCDMA,xiaomi
2014017,#移动 3G 标准版 #TD-SCDMA (1GB RAM),xiaomi
2014018,#联通 3G 标准版 #WCDMA (1GB RAM),xiaomi
2014021,#联通 4G 增强版 #China Unicom,xiaomi
2014022,#移动 4G 增强版 #China Mobile,xiaomi
2014055,#增强版 #Prime,xiaomi
2014112,#移动合约版 #China Mobile,xiaomi
2014215,#联通 3G 版 #WCDMA,xiaomi
2014216,#移动 4G 版 #LTE China Mobile,xiaomi
2014218,#电信 3G 版 #CDMA,xiaomi
2014501,#移动 4G 版 #4G China Mobile,xiaomi
2014502,#标准版 #,xiaomi
2014512,#增强版 #Prime,xiaomi
2014616,#双网通版 #China,xiaomi
2014617,#联通合约版 #China Unicom,xiaomi
2014618,#移动合约版 #China Mobile,xiaomi
2014619,#全网通版 #China,xiaomi
2014712,#4G 印度版 #India,xiaomi
2014715,#4G 国际版 #Global,xiaomi
2014716,#电信 4G 版 #LTE China Telecom,xiaomi
2014719,#联通 4G 版 #LTE China Unicom,xiaomi
2014726,#电信 4G 合约版 #LTE China Telecom,xiaomi
2014811,#联通版 #China Unicom,xiaomi
2014812,#电信版 #China Telecom,xiaomi
2014813,#移动版 #China Mobile,xiaomi
2014816,#高配版 #Prime (Snapdragon 410),xiaomi
2014817,#国际版 #Global,xiaomi
2014818,#印度版 #India,xiaomi
2014819,#巴西版 #Brazil,xiaomi
2014821,#电信合约版 #China Telecom,xiaomi
2014910,#电信 4G 双卡合约版 #China Telecom,xiaomi
2014911,#移动 4G 双卡合约版 #China Mobile,xiaomi
2014912,#联通 4G 双卡版 #China Unicom 1#India,xiaomi
2014915,#移动 4G 双卡版 #China Mobile,xiaomi
2014916,#电信 4G 双卡版 #China Telecom,xiaomi
2015011,#国际版 #Global,xiaomi
2015015,#国际版 #Global,xiaomi
2015021,#双网通版 #,xiaomi
2015022,#全网通版 #,xiaomi
2015051,#双网通版 #16GB,xiaomi
2015052,#移动版 #(16GB) China Mobile,xiaomi
2015055,#移动合约版 #(16GB) China Mobile,xiaomi
2015056,#移动合约高配版 #(32GB) China Mobile,xiaomi
2015105,#国际版 #(32GB) Global,xiaomi
2015112,#全网通版 #(Qualcomm) China,xiaomi
2015115,#全网通版 #(Qualcomm) China,xiaomi
2015116,#国际版 #(Qualcomm) Global,xiaomi
2015161,#台湾特制版 #(Special Edition) Taiwan,xiaomi
2015201,#标准版 #(32GB) China,xiaomi
2015211,#全网通版 #China,xiaomi
2015212,#移动 4G+ 版 #China Mobile,xiaomi
2015213,#全网通版 (全球频段) #Global,xiaomi
2015501,#移动合约版 #China Mobile,xiaomi
2015561,#全网通版 #,xiaomi
2015562,#移动合约版 #China Mobile,xiaomi
2015611,#移动合约版 #(Mediatek) China Mobile,xiaomi
2015617,#双网通版 #Mediatek,xiaomi
2015628,#高配版 / 尊享版 #(64GB & 128GB) China,xiaomi
2015711,#全网通版 #,xiaomi
2015712,#双网通高配版 #32GB,xiaomi
2015810,#联通合约 标准版 #China Unicom,xiaomi
2015811,#全网通 标准版 #China,xiaomi
2015812,#移动合约 标准版 #China Mobile,xiaomi
2015815,#全网通 标准版 #China,xiaomi
2015816,#国际版 #Global,xiaomi
2015817,#全网通 高配版 #Prime China,xiaomi
2015818,#联通合约 高配版 #Prime China Unicom,xiaomi
2015819,#全网通 高配版 #Prime China,xiaomi
2015911,#全网通版 #,xiaomi
2016001,#标准版 全网通版 #China,xiaomi
2016002,#标准版 国际版 #Global,xiaomi
2016007,#高配版 #,xiaomi
2016020,#标准版 #32GB,xiaomi
2016021,#高配版 / 尊享版 #64GB & 128GB,xiaomi
2016030,#全网通版 #China,xiaomi
2016031,#国际版 #Global,xiaomi
2016032,#Prime 印度版 #Prime India,xiaomi
2016033,#全网通版 (联通定制) #China Unicom,xiaomi
2016035,#移动合约版 #China Mobile,xiaomi
2016036,#全网通版 #,xiaomi
2016037,#印度版 #India,xiaomi
2016050,#全网通版 #Mediatek,xiaomi
2016051,#移动版 #(Mediatek) China Mobile,xiaomi
2016060,#高配版 #Pro,xiaomi
2016070,#全网通版 #,xiaomi
2016080,#全网通版 #,xiaomi
2016089,#移动版 #,xiaomi
2016090,#标准版 #,xiaomi
2016100,#国际版 #高通 国际版 #(Qualcomm) Global,xiaomi
2016101,#高通 全网通版 1#(Qualcomm) China,xiaomi
2016102,#国际版 #高通 国际版 #(Qualcomm) Global,xiaomi
2016111,#全网通版 #China,xiaomi
2016112,#移动 4G+ 版 #China Mobile,xiaomi
2016116,#印度版 #India,xiaomi
2016117,#国际版 #Global,xiaomi
2016130,#高通 移动 4G+ 版 1#(Qualcomm) China Mobile,xiaomi
21061110AG,#国际版 #Global,xiaomi
21061119AG,#国际版 #Global,xiaomi
21061119AL,#拉美版 #Latin America,xiaomi
21061119BI,#印度版 #India,xiaomi
21061119DG,#国际版 (NFC) #Global (NFC),xiaomi
2106118C,# #China,xiaomi
2107113SG,#国际版 #Global,xiaomi
2107113SI,#印度版 #India,xiaomi
2107113SR,#日本版 #Japan,xiaomi
2107119DC,#全网通版 Mi 11 LE China,xiaomi
21081111RG,#国际版 #Global,xiaomi
2109106A1I,#印度版 #India,xiaomi
21091116AC,#全网通版 #China,xiaomi
21091116AG,#国际版 #Global,xiaomi
21091116AI,1#5G 印度版 1#5G India,xiaomi
21091116C,#全网通版 #5G China,xiaomi
21091116I,#印度版 #India,xiaomi
21091116UC,#全网通版 #5G China,xiaomi
21091116UG,#5G 国际版 #5G Global,xiaomi
21091116UI,#印度版 #India,xiaomi
2109119BC,#全网通版 #全网通版 #China #China,xiaomi
2109119DG,1#国际版 #Global,xiaomi
2109119DI,1#NE 5G 印度版 #NE 5G India,xiaomi
211033MI,#印度版 #India,xiaomi
21121119SC,#全网通版 #China,xiaomi
21121119SG,#国际版 #Global,xiaomi
21121119VL,#拉美版 #Latin America,xiaomi
21121210C,#全网通版 #China,xiaomi
21121210G,POCO F4 GT 国际版 POCO F4 GT Global,xiaomi
21121210I,POCO F4 GT 印度版 POCO F4 GT India,xiaomi
2112123AC,#全网通版 #China,xiaomi
2112123AG,#国际版 #Global,xiaomi
22011119TI,#印度版 #India,xiaomi
22011119UY,#国际版 (NFC) #Global (NFC),xiaomi
2201116PG,#国际版 #Global,xiaomi
2201116PI,#印度版 #India,xiaomi
2201116SC,#全网通版 1#5G China,xiaomi
2201116SG,1#国际版 #Global,xiaomi
2201116SI,#印度版 #India,xiaomi
2201116SR,1#日本版 #Japan,xiaomi
2201116TG,#国际版 #Global,xiaomi
2201116TI,#印度版 #India,xiaomi
2201117PG,#国际版 #Global,xiaomi
2201117PI,#印度版 #India,xiaomi
2201117SG,#国际版 #Global,xiaomi
2201117SI,#印度版 #India,xiaomi
2201117SL,#拉美版 #Latin America,xiaomi
2201117SY,#国际版 (NFC) #Global (NFC),xiaomi
2201117TG,#国际版 #Global,xiaomi
2201117TI,#印度版 #India,xiaomi
2201117TL,#拉美版 #Latin America,xiaomi
2201117TY,#国际版 (NFC) #Global (NFC),xiaomi
22011211C,#全网通版 #China,xiaomi
2201122C,#全网通版 #China,xiaomi
2201122G,#国际版 #Global,xiaomi
2201123C,#全网通版 #China,xiaomi
2201123G,#国际版 #Global,xiaomi
22021119KR,#日本版 (SIM Free) #Japan (SIM Free),xiaomi
22021211RC,#全网通版 #China,xiaomi
22021211RG,#国际版 #Global,xiaomi
22021211RI,#印度版 #India,xiaomi
220233L2C,#全网通版 #China,xiaomi
220233L2G,#国际版 #Global,xiaomi
220233L2I,#印度版 #Sport 印度版 #India #Sport India,xiaomi
22031116AI,#印度版 #India,xiaomi
22031116BG,#国际版 #Global,xiaomi
2203121C,#全网通版 #China,xiaomi
2203129G,#国际版 #Global,xiaomi
2203129I,#印度版 #India,xiaomi
220333QAG,#国际版 #Global,xiaomi
220333QBI,#印度版 1#印度版 #India #Power India,xiaomi
220333QL,#拉美版 #Latin America,xiaomi
220333QNY,#国际版 (NFC) #Global (NFC),xiaomi
220333QPG,#国际版 #Global,xiaomi
220333QPI,#印度版 #India,xiaomi
22041211AC,#全网通版 #China,xiaomi
22041216C,#全网通版 #5G China,xiaomi
22041216G,#国际版 #Global,xiaomi
22041216I,#印度版 #India,xiaomi
22041216UC,#全网通版 #5G China,xiaomi
22041216UG,#国际版 #Global,xiaomi
22041219C,#全网通版 #China,xiaomi
22041219G,#国际版 #Global,xiaomi
22041219I,1#印度版 1#India,xiaomi
22041219NY,#国际版 (NFC) #Global (NFC),xiaomi
22041219PG,#国际版 #Global,xiaomi
22041219PI,#印度版 #India,xiaomi
22061218C,# #China,xiaomi
2206122SC,#全网通版 #China,xiaomi
2206123SC,#全网通版 #China,xiaomi
2207117BPG,#国际版 #Global,xiaomi
22071212AG,#国际版 #Global,xiaomi
22071219AI,#印度版 #India,xiaomi
22071219CG,#国际版 #Global,xiaomi
22071219CI,#印度版 #India,xiaomi
2207122MC,#全网通版 #China,xiaomi
220733SFG,#国际版 #Global,xiaomi
220733SFH,#印度版 #India,xiaomi
220733SG,#国际版 #Global,xiaomi
220733SH,#印度版 #India,xiaomi
220733SI,#印度版 #India,xiaomi
220733SL,#拉美版 #Latin America,xiaomi
220733SPH,#印度版 #India,xiaomi
220733SPI,#印度版 #India,xiaomi
220743FI,#印度版 #India,xiaomi
22081212C,#全网通版 #China,xiaomi
22081212R,#日本版 (SIM Free) #Japan (SIM Free),xiaomi
22081212UG,#国际版 #Global,xiaomi
22087RA4DI,#印度版 #India,xiaomi
2209116AG,#国际版 #Global,xiaomi
2209129SC,#全网通版 #China,xiaomi
22095RA98C,#5G 全网通版 #5G China,xiaomi
2210129SG,#国际版 #Global,xiaomi
22101316C,#全网通版 #China,xiaomi
22101316G,#5G 国际版 #Global,xiaomi
22101316I,#5G 印度版 #India,xiaomi
22101316UC,#全网通版 #China,xiaomi
22101316UCP,#全网通版 #China,xiaomi
22101316UG,#5G 国际版 #Global,xiaomi
22101316UP,#5G 印度版 #India,xiaomi
22101317C,#全网通版 1#全网通版 #China 1#China,xiaomi
22101320C,#全网通版 #China,xiaomi
22101320G,#国际版 #Global,xiaomi
22101320I,#印度版 #India,xiaomi
2210132C,#全网通版 #China,xiaomi
2210132G,#国际版 #Global,xiaomi
22111317G,#国际版 #Global,xiaomi
22111317I,#印度版 #India,xiaomi
22111317PG,#国际版 #Global,xiaomi
22111317PI,#印度版 #India,xiaomi
2211133C,#全网通版 #China,xiaomi
2211133G,#国际版 #Global,xiaomi
22120RN86C,#全网通版 #China,xiaomi
22120RN86G,#国际版 #Global,xiaomi
22120RN86H,#印度版 #India,xiaomi
22120RN86I,#印度版 #India,xiaomi
22122RK93C,#全网通版 #China,xiaomi
22126RN91Y,#国际版 (NFC) #Global (NFC),xiaomi
22127PC95G,#国际版 #Global,xiaomi
22127PC95H,#印度版 #India,xiaomi
22127PC95I,#印度版 #India,xiaomi
22127RK46C,#全网通版 #China,xiaomi
2212ARNC4L,#拉美版 #Latin America,xiaomi
22200414R,#日本版 (SIM Free) #Japan (SIM Free),xiaomi
23013PC75G,#国际版 #Global,xiaomi
23013RK75C,#全网通版 #China,xiaomi
23021RAA2Y,#国际版 (NFC) #Global (NFC),xiaomi
23021RAAEG,#国际版 #Global,xiaomi
23026RN54G,#国际版 #Global,xiaomi
23027RAD4I,#印度版 #India,xiaomi
23028RA60L,#拉美版 #Latin America,xiaomi
23028RN4DG,#国际版 #Global,xiaomi
23028RN4DH,#印度版 #India,xiaomi
23028RN4DI,#印度版 #India,xiaomi
23028RNCAG,#国际版 #Global,xiaomi
23028RNCAH,#印度版 #India,xiaomi
23028RNCAI,#印度版 #India,xiaomi
2302EPCC4H,#印度版 #India,xiaomi
2302EPCC4I,#印度版 #India,xiaomi
23030RAC7Y,#国际版 (NFC) #Global (NFC),xiaomi
2303CRA44A,#国际版 #Global,xiaomi
2303ERA42L,#拉美版 #Latin America,xiaomi
23046PNC9C,#全网通版 #China,xiaomi
23049PCD8G,#国际版 #Global,xiaomi
23049PCD8I,#印度版 #India,xiaomi
23049RAD8C,#全网通版 #China,xiaomi
2304FPN6DC,#全网通版 #China,xiaomi
2304FPN6DG,#国际版 #Global,xiaomi
23053RN02A,#国际版 #Global,xiaomi
23053RN02I,#印度版 #India,xiaomi
23053RN02L,#拉美版 #Latin America,xiaomi
23053RN02Y,#国际版 (NFC) #Global (NFC),xiaomi
23054RA19C,#全网通版 #China,xiaomi
2305EPCC4G,#国际版 #Global,xiaomi
2306EPN60G,#国际版 #Global,xiaomi
2306EPN60R,#日本版 #Japan,xiaomi
23076PC4BI,#印度版 #India,xiaomi
23076RA4BC,#全网通版 #全网通版 #China #China,xiaomi
23076RN4BI,#印度版 #India,xiaomi
23076RN8DY,#国际版 (NFC) #Global (NFC),xiaomi
23077RABDC,#全网通版 #China,xiaomi
23078PND5G,#国际版 #Global,xiaomi
23078RKD5C,#全网通版 #China,xiaomi
2308CPXD0C,# #China,xiaomi
8297,#移动 3G 版,coolpad
8297-C00,#电信 4G 版,coolpad
8297-T01,#Plus 移动 4G 版 & 酷派大神 F1 极速版,coolpad
8297-W01,#Plus 联通 4G 版,coolpad
8297D,#青春版,coolpad
8297W,#联通 3G 版,coolpad
8670,#,coolpad
8675-F01,#全高清移动版,coolpad
8675-FHD,#全高清版,coolpad
8675-HD,#移动版,coolpad
8675-W00,#联通版,coolpad
8675A,#全网通版,coolpad
8676-A01,#全网通版,360
8676-M01,#移动版,360
8681-A01,#全网通版,360
8681-M01,#移动版,360
8681-M02,#双网通版,360
8690,#双网通版,coolpad
8690-T00,#移动版,coolpad
8691,#全网通版,coolpad
8692-A00,#全网通版 #极客版,360
8692-M02,#双网通版,360
A001OP,#SoftBank,oppo
A001XM,#5G 日本版 (SoftBank) #5G Japan (SoftBank),xiaomi
A002OP,#SoftBank,oppo
A101OP,#SoftBank,oppo
A101XM,#日本版 (SoftBank) #Japan (SoftBank),xiaomi
A102OP,#5G (SoftBank),oppo
A1203,# #,apple
A1241,# #,apple
A1303,# # #,apple
A1324,#中国大陆 #China mainland #,apple
A1325,"#中国大陆, 无 WLAN 功能 #China mainland #无 WLAN 功能",apple
A1332,"#GSM #GSM, 2011 #GSM #GSM, 2011 # #2011",apple
A1349,#CDMA #CDMA,apple
A1387,#CDMA #CDMA #中国电信,apple
A1428,#GSM #GSM,apple
A1429,#GSM #GSM #中国联通,apple
A1431,#GSM #GSM #中国联通,apple
A1442,#CDMA #CDMA #中国电信,apple
A1453,#CDMA #CDMA,apple
A1456,#CDMA #CDMA,apple
A1457,#GSM #GSM,apple
A1507,#GSM #GSM,apple
A1516,"#LTE, 中国移动 #China Mobile #中国移动",apple
A1518,"#LTE, 中国移动 #China Mobile #中国移动",apple
A1522,#美国 #,apple
A1524,# # #,apple
A1526,"#GSM, 中国联通 #GSM #中国联通",apple
A1528,"#GSM, 中国联通 #GSM #中国联通",apple
A1529,#LTE #GSM #LTE,apple
A1530,#LTE #GSM #LTE,apple
A1532,"#CDMA, 中国电信 #CDMA #中国电信",apple
A1533,"#CDMA, 中国电信 #CDMA #中国电信",apple
A1549,#美国 #,apple
A1586,# # #,apple
A1589,#中国移动 #China Mobile #中国移动,apple
A1593,#中国移动 #China Mobile #中国移动,apple
A1633,# #,apple
A1634,# #,apple
A1660,# # #,apple
A1661,# # #,apple
A1662,#美国 #,apple
A1687,# #,apple
A1688,# #,apple
A1690,#中国移动 #China Mobile #中国移动,apple
A1691,#中国移动 #China Mobile #中国移动,apple
A1699,#中国大陆 #China mainland #,apple
A1700,#中国大陆 #China mainland #,apple
A1723,# # #,apple
A1724,#中国移动 #China Mobile #中国移动,apple
A1778,#GSM #GSM,apple
A1779,#日本 #Japan,apple
A1780,#中国移动 #China Mobile #中国移动,apple
A1784,#GSM #GSM,apple
A1785,#日本 #Japan,apple
A1786,#中国移动 #China Mobile #中国移动,apple
A1863,# # #,apple
A1864,# # #,apple
A1865,# # #,apple
A1897,#GSM #GSM,apple
A1898,#日本 #Japan,apple
A1899,#中国移动 #China Mobile #中国移动,apple
A1901,#GSM #GSM,apple
A1902,#日本 #Japan,apple
A1903,#中国移动 #China Mobile #中国移动,apple
A1905,#GSM #GSM,apple
A1906,#日本 #Japan,apple
A1907,#中国移动 #China Mobile #中国移动,apple
A1920,#北美，港澳 #North America,apple
A1921,#北美 #North America,apple
A1984,#北美 #North America,apple
A201OP,#SoftBank,oppo
A201XM,#日本版 (SoftBank) #Japan (SoftBank),xiaomi
A2097,#GSM #GSM,apple
A2098,#日本 #Japan,apple
A2099,#中国移动 #China Mobile #中国移动,apple
A2100,#中国大陆 #China mainland #,apple
A2101,#GSM #GSM,apple
A2102,#日本 #Japan,apple
A2103,#中国移动 #China Mobile #中国移动,apple
A2104,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2105,#GSM #GSM,apple
A2106,#日本 #Japan,apple
A2107,#中国移动 #China Mobile #中国移动,apple
A2108,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2111,#北美 #North America,apple
A2160,#北美 #North America,apple
A2161,#北美 #North America,apple
A2172,#美国 #United States,apple
A2176,#美国 #United States,apple
A2215,#其他国家和地区 #Rest of the world,apple
A2216,#中国移动 #China Mobile #中国移动,apple
A2217,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2218,#其他国家和地区 #Rest of the world,apple
A2219,#中国移动 #China Mobile #中国移动,apple
A2220,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2221,#其他国家和地区 #Rest of the world,apple
A2222,#中国移动 #China Mobile #中国移动,apple
A2223,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2275,#北美 #North America,apple
A2296,#其他国家和地区 #Rest of the world,apple
A2297,#中国移动 #China Mobile #中国移动,apple
A2298,#中国大陆 #China mainland #,apple
A2341,#美国 #United States,apple
A2342,#美国 #United States,apple
A2398,"#加拿大，日本 #Canada, Japan",apple
A2399,#其他国家和地区 #Rest of the world,apple
A2400,#中国大陆 #China mainland #,apple
A2402,"#加拿大，日本 #Canada, Japan",apple
A2403,#其他国家和地区 #Rest of the world,apple
A2404,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2406,"#加拿大，日本 #Canada, Japan",apple
A2407,#其他国家和地区 #Rest of the world,apple
A2408,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2410,"#加拿大，日本 #Canada, Japan",apple
A2411,#其他国家和地区 #Rest of the world,apple
A2412,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2481,#美国 #United States,apple
A2482,#美国 #United States,apple
A2483,#美国 #United States,apple
A2484,#美国 #United States,apple
A2595,#北美 #North America,apple
A2626,"#加拿大, 日本, 墨西哥, 沙特阿拉伯 #Canada, Japan, Mexico, Saudi Arabia",apple
A2628,#其他国家和地区 #Rest of the world,apple
A2629,#中国大陆 #China mainland #,apple
A2630,"#亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯 #Armenia, Belarus, Kazakhstan, Kyrgyzstan, Russia",apple
A2631,"#加拿大, 日本, 墨西哥, 沙特阿拉伯 #Canada, Japan, Mexico, Saudi Arabia",apple
A2632,#美国 #United States,apple
A2633,#其他国家和地区 #Rest of the world,apple
A2634,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2635,"#亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯 #Armenia, Belarus, Kazakhstan, Kyrgyzstan, Russia",apple
A2636,"#加拿大, 日本, 墨西哥, 沙特阿拉伯 #Canada, Japan, Mexico, Saudi Arabia",apple
A2638,#其他国家和地区 #Rest of the world,apple
A2639,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2640,"#亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯 #Armenia, Belarus, Kazakhstan, Kyrgyzstan, Russia",apple
A2641,"#加拿大, 日本, 墨西哥, 沙特阿拉伯 #Canada, Japan, Mexico, Saudi Arabia",apple
A2643,#其他国家和地区 #Rest of the world,apple
A2644,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2645,"#亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯 #Armenia, Belarus, Kazakhstan, Kyrgyzstan, Russia",apple
A2649,#美国 #United States,apple
A2650,#美国 #United States,apple
A2651,#美国 #United States,apple
A2782,#日本 #Japan,apple
A2783,#其他国家和地区 #Rest of the world,apple
A2784,"#亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯 #Armenia, Belarus, Kazakhstan, Kyrgyzstan, Russia",apple
A2785,#中国大陆 #China mainland #,apple
A2881,"#加拿大, 日本, 墨西哥, 沙特阿拉伯 #Canada, Japan, Mexico, Saudi Arabia",apple
A2882,#其他国家和地区 #Rest of the world,apple
A2883,"#亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯 #Armenia, Belarus, Kazakhstan, Kyrgyzstan, Russia",apple
A2884,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2885,"#加拿大, 日本, 墨西哥, 沙特阿拉伯 #Canada, Japan, Mexico, Saudi Arabia",apple
A2886,#其他国家和地区 #Rest of the world,apple
A2887,"#亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯 #Armenia, Belarus, Kazakhstan, Kyrgyzstan, Russia",apple
A2888,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2889,"#加拿大, 日本, 墨西哥, 沙特阿拉伯 #Canada, Japan, Mexico, Saudi Arabia",apple
A2890,#其他国家和地区 #Rest of the world,apple
A2891,"#亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯 #Armenia, Belarus, Kazakhstan, Kyrgyzstan, Russia",apple
A2892,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2893,"#加拿大, 日本, 墨西哥, 沙特阿拉伯 #Canada, Japan, Mexico, Saudi Arabia",apple
A2894,#其他国家和地区 #Rest of the world,apple
A2895,"#亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯 #Armenia, Belarus, Kazakhstan, Kyrgyzstan, Russia",apple
A2896,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A301OP,#SoftBank,oppo
A680H,魅族 M3E 国际版 #Global,meizu
A680M,#移动版 #1 E China Mobile,meizu
A680Q,#公开版 #1 E China,meizu
ABR-AL00,#,huawei
ABR-AL60,#,huawei
ABR-AL80,#,huawei
ABR-AL90,#,huawei
AC2001,#印度版 #India,oneplus
AC2003,#欧洲版/国际版 #EU / Global,oneplus
ADT-AN00,#5G,honor
AGT-AN00,#5G,honor
AKA-AL10,#,honor
AKA-L29,#,honor
ALA-AN70,#5G,honor
ALE-L02,#,huawei
ALE-L04,#,huawei
ALE-L21,#,huawei
ALE-L23,#,huawei
ALH-BD00,#5G,zhixuan
